Unnamed: 0,EXPORTS,Unnamed: 2,Unnamed: 3,IMPORTS,Unnamed: 5,Unnamed: 6
SECTOR / SELETED COMMODITIES,2021.0,2022.0,2023.0,2021.1,2022.1,2023.1
TOTAL,1241022.092831,1550009.274634,1426198.7043579998,987343.9741129999,1293811.3921560002,1211044.040649
AGRICULTURE,98092.9785,120903.079657,94817.511775,60754.238557000004,72342.481369,66504.777917
NATURAL RUBBER,4568.404698,4592.289895,3714.220194,7339.286952,7244.16785,5729.144153
SAWLOG,528.46729,535.04255,562.896925,222.946585,216.318257,95.70263399999999
SAWN TIMBER & MOULDINGS,3272.18521,3591.83628,3141.4893379999994,937.964516,1074.512894,868.0022500000001
PALM OIL,64614.752461,82479.941933,59450.122,6210.231961,7593.351171,4652.400919
OTHERS,25109.168841,29703.968999,27948.783317999998,46043.808543,56214.131197,55159.527961
MINING,69757.424025,117345.542472,106078.27368099999,53025.841610999996,120947.600344,113024.223665
TIN,2118.079414,2207.036378,1904.0910569999999,641.528957,661.629051,570.8461639999999
CRUDE PETROLEUM,18371.542324,31847.273611,28732.530555999998,14130.905105,52941.408158,60972.369946
LIQUEFIED NATURAL GAS,38192.718277,68002.481705,60231.387296,1462.209239,9591.014039,6994.978937000001
OTHERS,11075.08401,15288.750778,15210.264772000002,36791.19831,57753.549096,44486.02861799999
MANUFACTURING,1068431.229112,1304668.458653,1216283.1764759999,849161.6679779999,1076348.6758750002,1014118.090454
ELECTRICAL & ELECTRONIC PRODUCTS ,455952.959213,592955.842931,575455.2907259999,314546.113367,393473.919916,355944.506481
"CHEMICAL & CHEMICAL PRODUCTS 
(EXCLUDE PLASTICS IN NON-PRIMARY 
FORMS)",70683.127412,80579.055391,71454.07481800001,96550.553966,115514.460332,104425.50202999997
"MACHINERY, EQUIPMENT & PARTS",49921.644346,60408.981952,57250.275553,68638.037702,89381.475031,89209.92538900001
PETROLEUM PRODUCTS,96205.755338,161205.092213,143493.74288300003,89546.327462,145638.854159,137935.282476
MANUFACTURES OF METAL,61556.702885,63550.534195,56322.65788300001,54216.064982,63852.957622,64817.161072
TRANSPORT EQUIPMENT,15914.081775,18987.503272,17500.085162000003,33588.226851,50922.120668,55400.562703
OPTICAL & SCIENTIFIC EQUIPMENT,46928.310844,56632.044493,54574.838460000006,26855.012229,29845.705404,30957.043686000005
PROCESSED FOOD,24599.61231,28413.751333,30303.761819999996,24857.942334,28934.157816,28551.546023000006
"TEXTILES, APPARELS & FOOTWEAR",15827.264849,17341.492404,16018.573455999998,14527.412916,20214.980248,18714.674414000005
IRON & STEEL PRODUCTS,29408.781854,33827.027859,30477.653202999994,33452.202163,33408.946876,32003.206589999998
MANUFACTURE OF PLASTICS,15971.456275,17261.658355,16040.733890999998,13448.152755,15539.849752,14912.071602
PAPER & PULP PRODUCTS,8515.723125,9947.989752,11594.471518,12062.663732,13253.944056,12400.766801999998
RUBBER PRODUCTS,64614.871975,28790.185467,21336.573406999996,16728.456574,11495.272327,9650.338111000001
"PALM OIL-BASED MANUFACTURED 
PRODUCTS",32703.874853,41385.342288,31211.657262,8268.856237,11102.356857,9254.513739
NON-METALLIC MINERAL PRODUCTS,10571.774741,11944.73339,12469.122545999999,7365.462922,8002.291817,8569.927324999999
BEVERAGES & TOBACCO,2494.833304,2756.650196,3104.914544,2607.771919,3618.935802,3577.3108719999996
JEWELLERY,5804.343871,7394.624674,7707.572558999999,5014.944691,6959.543793,7641.70571
WOOD PRODUCTS,16555.073097,18095.883297,14866.16605,5688.567341,5867.369085,5135.611833000002
OTHERS,44201.037045,53190.065191,45101.010735,21198.897835,29321.534314,25016.433595999995
OTHERS,4740.461194,7092.193852,9019.742426,24402.225967,24172.634568,17396.948613
